*Au+ Q  % XX344LF006.TextGrid
twenty t_>wEnti  % XX172LM038.TextGrid XX183LM006.TextGrid XX227LF007.TextGrid XX241LF014.TextGrid XX242LF005.TextGrid XX298LF014.TextGrid XX337LF005.TextGrid
twenty t_>wEni  % XX180LM015.TextGrid XX220LF106.TextGrid XX220LF114.TextGrid XX227LF026.TextGrid XX227LF029.TextGrid XX245CF012.TextGrid
twenty twEni  % XX000LF105.TextGrid XX173LM012.TextGrid XX220LF114.TextGrid XX262LM013.TextGrid
twenty t_>went_>i  % XX004CF015.TextGrid XX123CF020.TextGrid XX123CF026.TextGrid XX183LM014.TextGrid
twenty t_>wEnt_>i  % XX298LF005.TextGrid XX299LF022.TextGrid XX324LF022.TextGrid XX327LF013.TextGrid
twenty t_>wEnt  % XX208CF014.TextGrid XX212LF006.TextGrid
twenty twent_>i  % XX065LF006.TextGrid XX065LF007.TextGrid
twenty t_>wEnt_>  % XX258LM012.TextGrid
twenty t_>wEn  % XX213LF005.TextGrid
twenty twEn@  % XX210LM015.TextGrid
twenty t_>wenti  % XX116LM031.TextGrid
twenty twEnt_>  % XX245CF013.TextGrid
twenty twEn  % XX170CF015.TextGrid
twenty twEnt@  % XX303LF005.TextGrid
twenty twEndi  % XX234CM014.TextGrid
twenty t_>we:nt_>i  % XX299LF014.TextGrid
twenty twent  % XX147CF013.TextGrid
two tu:  % XX000CM014.TextGrid XX000LF237.TextGrid XX000LM107.TextGrid XX000LM214.TextGrid XX001LF025.TextGrid XX001LF038.TextGrid XX002LF020.TextGrid XX004CF014.TextGrid XX004CF032.TextGrid XX007LF024.TextGrid XX007LF109.TextGrid XX007LF221.TextGrid XX007LF226.TextGrid XX011LF006.TextGrid XX011LF007.TextGrid XX011LF021.TextGrid XX012LF006.TextGrid XX012LF007.TextGrid XX012LF034.TextGrid XX013LF021.TextGrid XX013LF027.TextGrid XX013LF038.TextGrid XX014LF006.TextGrid XX014LF007.TextGrid XX015LF024.TextGrid XX016LM005.TextGrid XX022LF007.TextGrid XX022LF014.TextGrid XX023LF001.TextGrid XX023LF007.TextGrid XX023LF020.TextGrid XX023LF026.TextGrid XX024LM022.TextGrid XX024LM025.TextGrid XX025LF005.TextGrid XX025LF028.TextGrid XX025LF036.TextGrid XX025LF037.TextGrid XX026LF020.TextGrid XX026LF034.TextGrid XX029LF007.TextGrid XX031LF006.TextGrid XX031LF024.TextGrid XX031LF030.TextGrid XX031LF034.TextGrid XX032LF022.TextGrid XX033LF026.TextGrid XX035LF024.TextGrid XX038LF035.TextGrid XX039LM014.TextGrid XX040LM034.TextGrid XX044CF021.TextGrid XX044CF031.TextGrid XX047LM007.TextGrid XX050CF027.TextGrid XX050CF034.TextGrid XX053LM023.TextGrid XX053LM025.TextGrid XX053LM028.TextGrid XX055LF007.TextGrid XX056CF034.TextGrid XX058CF030.TextGrid XX058CF031.TextGrid XX058CF032.TextGrid XX058CF035.TextGrid XX062LF007.TextGrid XX062LF032.TextGrid XX063LF024.TextGrid XX063LF030.TextGrid XX064CF007.TextGrid XX065LF022.TextGrid XX065LF024.TextGrid XX065LF027.TextGrid XX067LF036.TextGrid XX069LF038.TextGrid XX072LF001.TextGrid XX072LF035.TextGrid XX073LM035.TextGrid XX074LF007.TextGrid XX074LF025.TextGrid XX074LF029.TextGrid XX074LF032.TextGrid XX075CM007.TextGrid XX076LM007.TextGrid XX076LM022.TextGrid XX076LM025.TextGrid XX076LM029.TextGrid XX077CM012.TextGrid XX077CM025.TextGrid XX077LM012.TextGrid XX077LM014.TextGrid XX077LM020.TextGrid XX077LM025.TextGrid XX079CF007.TextGrid XX079CF032.TextGrid XX080LM027.TextGrid XX082LF021.TextGrid XX082LF025.TextGrid XX083LM028.TextGrid XX084LM007.TextGrid XX084LM009.TextGrid XX084LM024.TextGrid XX085LM007.TextGrid XX085LM024.TextGrid XX086LM025.TextGrid XX086LM028.TextGrid XX088LM021.TextGrid XX089LF014.TextGrid XX089LF030.TextGrid XX090LM014.TextGrid XX090LM021.TextGrid XX090LM034.TextGrid XX091LM014.TextGrid XX091LM030.TextGrid XX096LM007.TextGrid XX096LM014.TextGrid XX096LM026.TextGrid XX096LM031.TextGrid XX097LM022.TextGrid XX097LM025.TextGrid XX098LF022.TextGrid XX100LM107.TextGrid XX100LM120.TextGrid XX100LM124.TextGrid XX101LF006.TextGrid XX101LF007.TextGrid XX101LF035.TextGrid XX101LF036.TextGrid XX102CF007.TextGrid XX102CF026.TextGrid XX102CF033.TextGrid XX102CM007.TextGrid XX102CM033.TextGrid XX102CM035.TextGrid XX106LF020.TextGrid XX108LM025.TextGrid XX109CF007.TextGrid XX110LF034.TextGrid XX110LF036.TextGrid XX111LF006.TextGrid XX111LF007.TextGrid XX111LF022.TextGrid XX111LF029.TextGrid XX113LF007.TextGrid XX113LF025.TextGrid XX113LF027.TextGrid XX113LF028.TextGrid XX113LF031.TextGrid XX114LM030.TextGrid XX115LF025.TextGrid XX115LF037.TextGrid XX116LF036.TextGrid XX116LM007.TextGrid XX116LM022.TextGrid XX118LF007.TextGrid XX118LF014.TextGrid XX118LF021.TextGrid XX118LF025.TextGrid XX120LF014.TextGrid XX120LF026.TextGrid XX120LM014.TextGrid XX120LM026.TextGrid XX120LM033.TextGrid XX120LM034.TextGrid XX123CF012.TextGrid XX123CF021.TextGrid XX128LF037.TextGrid XX130LF007.TextGrid XX130LF030.TextGrid XX131LM001.TextGrid XX131LM026.TextGrid XX131LM031.TextGrid XX131LM036.TextGrid XX131LM107.TextGrid XX132LM001.TextGrid XX132LM014.TextGrid XX132LM020.TextGrid XX132LM027.TextGrid XX132LM031.TextGrid XX134LF021.TextGrid XX134LF036.TextGrid XX136LF007.TextGrid XX136LF024.TextGrid XX136LF037.TextGrid XX138CM007.TextGrid XX139LF006.TextGrid XX139LF007.TextGrid XX139LF032.TextGrid XX139LF035.TextGrid XX139LF037.TextGrid XX142CF007.TextGrid XX142CF020.TextGrid XX145LM007.TextGrid XX145LM015.TextGrid XX145LM021.TextGrid XX145LM024.TextGrid XX145LM036.TextGrid XX146LM015.TextGrid XX146LM023.TextGrid XX146LM028.TextGrid XX149LF109.TextGrid XX149LF121.TextGrid XX150LF007.TextGrid XX150LF014.TextGrid XX150LF026.TextGrid XX150LF034.TextGrid XX151CM036.TextGrid XX151CM038.TextGrid XX152LF007.TextGrid XX152LM023.TextGrid XX152LM026.TextGrid XX152LM028.TextGrid XX155CM007.TextGrid XX155CM023.TextGrid XX155CM033.TextGrid XX156CF015.TextGrid XX156CF023.TextGrid XX156CF038.TextGrid XX157CF007.TextGrid XX161CF007.TextGrid XX162CF001.TextGrid XX162CF026.TextGrid XX162CF030.TextGrid XX164CF007.TextGrid XX164CF032.TextGrid XX164CM007.TextGrid XX164CM022.TextGrid XX167CF007.TextGrid XX167CF021.TextGrid XX167CF030.TextGrid XX172LM001.TextGrid XX172LM020.TextGrid XX172LM028.TextGrid XX172LM034.TextGrid XX172LM037.TextGrid XX173LM014.TextGrid XX173LM021.TextGrid XX174LM007.TextGrid XX174LM014.TextGrid XX174LM026.TextGrid XX175LM007.TextGrid XX175LM034.TextGrid XX176LF022.TextGrid XX176LF027.TextGrid XX179LM026.TextGrid XX179LM029.TextGrid XX179LM031.TextGrid XX179LM035.TextGrid XX180LM028.TextGrid XX182LM020.TextGrid XX182LM032.TextGrid XX184LM007.TextGrid XX184LM023.TextGrid XX184LM028.TextGrid XX188LM015.TextGrid XX188LM031.TextGrid XX191LM001.TextGrid XX193LM030.TextGrid XX197LM007.TextGrid XX197LM014.TextGrid XX202LF001.TextGrid XX202LM001.TextGrid XX202LM020.TextGrid XX202LM027.TextGrid XX202LM033.TextGrid XX206LF007.TextGrid XX206LF020.TextGrid XX206LF023.TextGrid XX207LF001.TextGrid XX207LF006.TextGrid XX207LF007.TextGrid XX208CF007.TextGrid XX208CF020.TextGrid XX208CF029.TextGrid XX208CF036.TextGrid XX208CF037.TextGrid XX208LF007.TextGrid XX209CF007.TextGrid XX209CF025.TextGrid XX209CF031.TextGrid XX209CF034.TextGrid XX210LM007.TextGrid XX210LM020.TextGrid XX210LM033.TextGrid XX212LF001.TextGrid XX218LF021.TextGrid XX218LF022.TextGrid XX220LF020.TextGrid XX221LF001.TextGrid XX221LF007.TextGrid XX221LF020.TextGrid XX221LF036.TextGrid XX222LM001.TextGrid XX222LM006.TextGrid XX222LM007.TextGrid XX222LM021.TextGrid XX222LM029.TextGrid XX222LM032.TextGrid XX222LM035.TextGrid XX225LF007.TextGrid XX225LF027.TextGrid XX225LF029.TextGrid XX227LF006.TextGrid XX227LF015.TextGrid XX227LF020.TextGrid XX234CM007.TextGrid XX234CM014.TextGrid XX234CM025.TextGrid XX238LM025.TextGrid XX239LF031.TextGrid XX240LF026.TextGrid XX241LF021.TextGrid XX242LF006.TextGrid XX242LF007.TextGrid XX242LF021.TextGrid XX243LF007.TextGrid XX244LF001.TextGrid XX244LF007.TextGrid XX244LF028.TextGrid XX255LM002.TextGrid XX255LM026.TextGrid XX256LM022.TextGrid XX256LM029.TextGrid XX261LM001.TextGrid XX262LM013.TextGrid XX263LM031.TextGrid XX264LM007.TextGrid XX264LM034.TextGrid XX264LM036.TextGrid XX268LM037.TextGrid XX270LF025.TextGrid XX270LF032.TextGrid XX270LF035.TextGrid XX271LF022.TextGrid XX271LF023.TextGrid XX272LF007.TextGrid XX272LF014.TextGrid XX275LM024.TextGrid XX276LF014.TextGrid XX280LM001.TextGrid XX280LM007.TextGrid XX280LM022.TextGrid XX281LF032.TextGrid XX281LF035.TextGrid XX282LF001.TextGrid XX282LF007.TextGrid XX294LM001.TextGrid XX294LM014.TextGrid XX294LM021.TextGrid XX297LM020.TextGrid XX298LF001.TextGrid XX298LF006.TextGrid XX298LF007.TextGrid XX298LF034.TextGrid XX299LF007.TextGrid XX299LF027.TextGrid XX299LF031.TextGrid XX299LF033.TextGrid XX300LM007.TextGrid XX300LM013.TextGrid XX300LM021.TextGrid XX300LM027.TextGrid XX301LF014.TextGrid XX303LF034.TextGrid XX303LF035.TextGrid XX304LF029.TextGrid XX311CM007.TextGrid XX311CM027.TextGrid XX311CM028.TextGrid XX312LM014.TextGrid XX312LM021.TextGrid XX313CF007.TextGrid XX313CF021.TextGrid XX313CF027.TextGrid XX313CF037.TextGrid XX313CF038.TextGrid XX314LF035.TextGrid XX316LM032.TextGrid XX318LM024.TextGrid XX318LM025.TextGrid XX318LM034.TextGrid XX319CF006.TextGrid XX319CF007.TextGrid XX319CF024.TextGrid XX319CF029.TextGrid XX323LF001.TextGrid XX323LF007.TextGrid XX323LF025.TextGrid XX324LF001.TextGrid XX324LF031.TextGrid XX325LF021.TextGrid XX325LF036.TextGrid XX326LF007.TextGrid XX326LF035.TextGrid XX327LF007.TextGrid XX327LF023.TextGrid XX328LF033.TextGrid XX329LF007.TextGrid XX329LF021.TextGrid XX330LF020.TextGrid XX332LF007.TextGrid XX334CM007.TextGrid XX334CM014.TextGrid XX335CM007.TextGrid XX335CM014.TextGrid XX335CM035.TextGrid XX336CM007.TextGrid XX336CM013.TextGrid XX336CM035.TextGrid XX337LF032.TextGrid XX337LF035.TextGrid XX338CM032.TextGrid XX339CM007.TextGrid XX339CM025.TextGrid XX339CM031.TextGrid XX339CM035.TextGrid XX339CM036.TextGrid XX340CF006.TextGrid XX340CF007.TextGrid XX340CF014.TextGrid XX340CF030.TextGrid XX340CF033.TextGrid XX341LF007.TextGrid XX341LF024.TextGrid XX341LF038.TextGrid XX344LF023.TextGrid XX347LF007.TextGrid XX347LF025.TextGrid XX347LF028.TextGrid XX347LF036.TextGrid XX348LM023.TextGrid XX348LM024.TextGrid XX348LM028.TextGrid XX349LM023.TextGrid XX350LM014.TextGrid XX350LM023.TextGrid XX351LM030.TextGrid XX351LM036.TextGrid XX355LF026.TextGrid XX356LF006.TextGrid XX356LF007.TextGrid XX356LF023.TextGrid XX356LF028.TextGrid XX356LF035.TextGrid XX359LF035.TextGrid XX360LF007.TextGrid XX360LF022.TextGrid XX361LM014.TextGrid XX361LM020.TextGrid XX361LM025.TextGrid XX365LM020.TextGrid XX365LM030.TextGrid XX377LM007.TextGrid XX377LM014.TextGrid XX381LF022.TextGrid XX381LF027.TextGrid XX384LM007.TextGrid XX384LM020.TextGrid XX384LM024.TextGrid XX384LM028.TextGrid XX385LF024.TextGrid XX385LF035.TextGrid XX387LF028.TextGrid XX388LF022.TextGrid XX388LF025.TextGrid XX388LF033.TextGrid XX389LF007.TextGrid XX389LF027.TextGrid XX389LF034.TextGrid XX396LM005.TextGrid XX396LM007.TextGrid XX396LM012.TextGrid XX396LM024.TextGrid XX396LM036.TextGrid XX396LM037.TextGrid XX397LM027.TextGrid XX397LM031.TextGrid XX400CF006.TextGrid XX400CF007.TextGrid XX400CF012.TextGrid XX400CF021.TextGrid XX400CF022.TextGrid XX400CF026.TextGrid XX400CF032.TextGrid
two tu  % XX000LF005.TextGrid XX000LF007.TextGrid XX000LF012.TextGrid XX000LF013.TextGrid XX000LF107.TextGrid XX000LF223.TextGrid XX000LF225.TextGrid XX000LF229.TextGrid XX001LF007.TextGrid XX001LF014.TextGrid XX001LF023.TextGrid XX002LF014.TextGrid XX002LF021.TextGrid XX002LF036.TextGrid XX006LF007.TextGrid XX006LF036.TextGrid XX007LF007.TextGrid XX007LF114.TextGrid XX007LF115.TextGrid XX007LF207.TextGrid XX007LF222.TextGrid XX012LF020.TextGrid XX014LF015.TextGrid XX014LF024.TextGrid XX014LF029.TextGrid XX015LF007.TextGrid XX015LF027.TextGrid XX015LF032.TextGrid XX016LM007.TextGrid XX016LM013.TextGrid XX016LM014.TextGrid XX016LM027.TextGrid XX016LM031.TextGrid XX016LM034.TextGrid XX016LM035.TextGrid XX021CM007.TextGrid XX021CM030.TextGrid XX022LF001.TextGrid XX022LF020.TextGrid XX024LM001.TextGrid XX029LF001.TextGrid XX029LF025.TextGrid XX029LF026.TextGrid XX029LF030.TextGrid XX031LF007.TextGrid XX032LF001.TextGrid XX032LF007.TextGrid XX032LF027.TextGrid XX032LF032.TextGrid XX032LF033.TextGrid XX033LF007.TextGrid XX033LF031.TextGrid XX033LF034.TextGrid XX037LF027.TextGrid XX039LM021.TextGrid XX039LM030.TextGrid XX040LM024.TextGrid XX040LM030.TextGrid XX041LF031.TextGrid XX041LF033.TextGrid XX053LM014.TextGrid XX054CF007.TextGrid XX054CF027.TextGrid XX056CF007.TextGrid XX056CF021.TextGrid XX062LF001.TextGrid XX062LF007.TextGrid XX063LF006.TextGrid XX063LF007.TextGrid XX064CF006.TextGrid XX064CF021.TextGrid XX064CF032.TextGrid XX064CF037.TextGrid XX067LF001.TextGrid XX067LF014.TextGrid XX067LF021.TextGrid XX069LF021.TextGrid XX069LF023.TextGrid XX069LF027.TextGrid XX069LF029.TextGrid XX072LF007.TextGrid XX072LF034.TextGrid XX073LM025.TextGrid XX075CM015.TextGrid XX075CM021.TextGrid XX075CM024.TextGrid XX077CM007.TextGrid XX077CM037.TextGrid XX079CF030.TextGrid XX080LM007.TextGrid XX080LM020.TextGrid XX080LM028.TextGrid XX080LM033.TextGrid XX082LF001.TextGrid XX083LM021.TextGrid XX084LM022.TextGrid XX085LM014.TextGrid XX086LM014.TextGrid XX087LM007.TextGrid XX087LM014.TextGrid XX087LM029.TextGrid XX087LM034.TextGrid XX088LM014.TextGrid XX089LF020.TextGrid XX089LF031.TextGrid XX092CM013.TextGrid XX092CM020.TextGrid XX092CM025.TextGrid XX096LM021.TextGrid XX097LM006.TextGrid XX097LM007.TextGrid XX097LM030.TextGrid XX098LF007.TextGrid XX098LF027.TextGrid XX100LM107.TextGrid XX102CF001.TextGrid XX102CF033.TextGrid XX102CF035.TextGrid XX102CM026.TextGrid XX103LM023.TextGrid XX108LM007.TextGrid XX109CF006.TextGrid XX110LF006.TextGrid XX110LF007.TextGrid XX110LF028.TextGrid XX113LF023.TextGrid XX113LF033.TextGrid XX114LM007.TextGrid XX114LM023.TextGrid XX114LM035.TextGrid XX116LF007.TextGrid XX116LF013.TextGrid XX116LF014.TextGrid XX116LF022.TextGrid XX116LF026.TextGrid XX116LF031.TextGrid XX116LM014.TextGrid XX116LM029.TextGrid XX116LM030.TextGrid XX117LF007.TextGrid XX117LF021.TextGrid XX117LF026.TextGrid XX134LF014.TextGrid XX134LF027.TextGrid XX142CF003.TextGrid XX143LM015.TextGrid XX144CF005.TextGrid XX144CF007.TextGrid XX144CF014.TextGrid XX144CF022.TextGrid XX144CF029.TextGrid XX144CF034.TextGrid XX147CF026.TextGrid XX149LF001.TextGrid XX149LF007.TextGrid XX149LF114.TextGrid XX149LF120.TextGrid XX149LF130.TextGrid XX149LF135.TextGrid XX150LF009.TextGrid XX150LF013.TextGrid XX151CM032.TextGrid XX152LM001.TextGrid XX152LM005.TextGrid XX152LM007.TextGrid XX152LM020.TextGrid XX156CF007.TextGrid XX161CF022.TextGrid XX161CF033.TextGrid XX162CF007.TextGrid XX162CF022.TextGrid XX162CF024.TextGrid XX162CF027.TextGrid XX162CF032.TextGrid XX162CF035.TextGrid XX164CF015.TextGrid XX164CF022.TextGrid XX164CF024.TextGrid XX164CF027.TextGrid XX164CF030.TextGrid XX164CF035.TextGrid XX170CF028.TextGrid XX170CF030.TextGrid XX172LM022.TextGrid XX173LM007.TextGrid XX173LM031.TextGrid XX173LM034.TextGrid XX173LM036.TextGrid XX176LF007.TextGrid XX176LF026.TextGrid XX177LF005.TextGrid XX177LF014.TextGrid XX177LF028.TextGrid XX177LF030.TextGrid XX177LF033.TextGrid XX177LF034.TextGrid XX179LM012.TextGrid XX179LM015.TextGrid XX180LM007.TextGrid XX182LM029.TextGrid XX182LM031.TextGrid XX183LM006.TextGrid XX183LM007.TextGrid XX183LM037.TextGrid XX184LM033.TextGrid XX186LM027.TextGrid XX186LM029.TextGrid XX186LM031.TextGrid XX187LM007.TextGrid XX187LM020.TextGrid XX187LM023.TextGrid XX187LM036.TextGrid XX188LM007.TextGrid XX188LM026.TextGrid XX191LM027.TextGrid XX193LM023.TextGrid XX194LF006.TextGrid XX196LF022.TextGrid XX196LF026.TextGrid XX196LF038.TextGrid XX197LM023.TextGrid XX197LM037.TextGrid XX200LF014.TextGrid XX200LF026.TextGrid XX200LF033.TextGrid XX200LF035.TextGrid XX202LF020.TextGrid XX202LM001.TextGrid XX202LM023.TextGrid XX202LM026.TextGrid XX202LM032.TextGrid XX202LM033.TextGrid XX206LF001.TextGrid XX207LF021.TextGrid XX207LF030.TextGrid XX207LF035.TextGrid XX208CF001.TextGrid XX208CF006.TextGrid XX208CF014.TextGrid XX208CF023.TextGrid XX208CF031.TextGrid XX208LF001.TextGrid XX208LF023.TextGrid XX208LF035.TextGrid XX209CF001.TextGrid XX209CF006.TextGrid XX209CF020.TextGrid XX210LM001.TextGrid XX210LM025.TextGrid XX210LM032.TextGrid XX210LM037.TextGrid XX211LM001.TextGrid XX211LM007.TextGrid XX211LM022.TextGrid XX211LM033.TextGrid XX211LM036.TextGrid XX211LM037.TextGrid XX212LF020.TextGrid XX213LF001.TextGrid XX213LF020.TextGrid XX213LF031.TextGrid XX215LF020.TextGrid XX215LF035.TextGrid XX218LF001.TextGrid XX218LF007.TextGrid XX218LF020.TextGrid XX218LF022.TextGrid XX220LF021.TextGrid XX220LF022.TextGrid XX220LF101.TextGrid XX220LF107.TextGrid XX220LF121.TextGrid XX220LF122.TextGrid XX220LF135.TextGrid XX222LM014.TextGrid XX225LF001.TextGrid XX225LF006.TextGrid XX227LF001.TextGrid XX227LF007.TextGrid XX227LF029.TextGrid XX227LF031.TextGrid XX234CM006.TextGrid XX234CM015.TextGrid XX234CM020.TextGrid XX234CM031.TextGrid XX238LM013.TextGrid XX239LF001.TextGrid XX239LF015.TextGrid XX239LF030.TextGrid XX239LF033.TextGrid XX240LF001.TextGrid XX240LF030.TextGrid XX240LF033.TextGrid XX241LF001.TextGrid XX241LF007.TextGrid XX241LF014.TextGrid XX241LF026.TextGrid XX242LF001.TextGrid XX242LF033.TextGrid XX242LF036.TextGrid XX243LF028.TextGrid XX245CF001.TextGrid XX245CF020.TextGrid XX245CF030.TextGrid XX255LM032.TextGrid XX255LM034.TextGrid XX256LM001.TextGrid XX256LM005.TextGrid XX256LM024.TextGrid XX258LM007.TextGrid XX258LM023.TextGrid XX258LM031.TextGrid XX259LM001.TextGrid XX259LM007.TextGrid XX259LM020.TextGrid XX259LM028.TextGrid XX259LM034.TextGrid XX261LM005.TextGrid XX261LM006.TextGrid XX261LM007.TextGrid XX261LM028.TextGrid XX261LM034.TextGrid XX261LM035.TextGrid XX262LM001.TextGrid XX262LM024.TextGrid XX262LM030.TextGrid XX262LM033.TextGrid XX263LM001.TextGrid XX263LM020.TextGrid XX263LM033.TextGrid XX264LM001.TextGrid XX264LM006.TextGrid XX264LM026.TextGrid XX268LM032.TextGrid XX269LF001.TextGrid XX269LF014.TextGrid XX269LF021.TextGrid XX269LF025.TextGrid XX269LF027.TextGrid XX269LF032.TextGrid XX270LF001.TextGrid XX270LF031.TextGrid XX271LF001.TextGrid XX271LF007.TextGrid XX271LF014.TextGrid XX272LF001.TextGrid XX272LF006.TextGrid XX272LF020.TextGrid XX272LF022.TextGrid XX272LF024.TextGrid XX272LF032.TextGrid XX273LF007.TextGrid XX273LF014.TextGrid XX273LF026.TextGrid XX273LF034.TextGrid XX273LF036.TextGrid XX275LM001.TextGrid XX275LM026.TextGrid XX275LM027.TextGrid XX276LF001.TextGrid XX276LF027.TextGrid XX276LF030.TextGrid XX276LF034.TextGrid XX281LF001.TextGrid XX281LF007.TextGrid XX281LF028.TextGrid XX281LF036.TextGrid XX282LF029.TextGrid XX282LF034.TextGrid XX294LM005.TextGrid XX294LM007.TextGrid XX294LM033.TextGrid XX297LM001.TextGrid XX297LM024.TextGrid XX297LM032.TextGrid XX299LF001.TextGrid XX300LM012.TextGrid XX300LM026.TextGrid XX301LF007.TextGrid XX303LF009.TextGrid XX304LF015.TextGrid XX304LF033.TextGrid XX312LM001.TextGrid XX312LM029.TextGrid XX312LM033.TextGrid XX314LF007.TextGrid XX316LM007.TextGrid XX316LM014.TextGrid XX316LM020.TextGrid XX318LM022.TextGrid XX323LF024.TextGrid XX324LF035.TextGrid XX325LF006.TextGrid XX325LF007.TextGrid XX325LF024.TextGrid XX326LF001.TextGrid XX326LF031.TextGrid XX327LF001.TextGrid XX327LF013.TextGrid XX327LF034.TextGrid XX327LF036.TextGrid XX328LF007.TextGrid XX329LF001.TextGrid XX329LF024.TextGrid XX329LF034.TextGrid XX330LF007.TextGrid XX330LF033.TextGrid XX331LF031.TextGrid XX332LF001.TextGrid XX332LF028.TextGrid XX332LF033.TextGrid XX332LF035.TextGrid XX334CM036.TextGrid XX335CM023.TextGrid XX336CM006.TextGrid XX336CM030.TextGrid XX336CM032.TextGrid XX337LF014.TextGrid XX337LF020.TextGrid XX337LF028.TextGrid XX338CM014.TextGrid XX338CM030.TextGrid XX338CM032.TextGrid XX338CM036.TextGrid XX340CF026.TextGrid XX344LF025.TextGrid XX344LF032.TextGrid XX346LM005.TextGrid XX346LM007.TextGrid XX347LF035.TextGrid XX348LM007.TextGrid XX348LM023.TextGrid XX348LM029.TextGrid XX349LM008.TextGrid XX349LM028.TextGrid XX349LM034.TextGrid XX349LM036.TextGrid XX350LM007.TextGrid XX350LM031.TextGrid XX351LM007.TextGrid XX351LM025.TextGrid XX351LM027.TextGrid XX356LF021.TextGrid XX359LF007.TextGrid XX359LF028.TextGrid XX361LM024.TextGrid XX365LM007.TextGrid XX365LM023.TextGrid XX377LM023.TextGrid XX377LM107.TextGrid XX377LM123.TextGrid XX381LF007.TextGrid XX381LF022.TextGrid XX381LF029.TextGrid XX381LF035.TextGrid XX382LM001.TextGrid XX387LF007.TextGrid XX387LF030.TextGrid XX388LF007.TextGrid
two t_hu  % XX120LF005.TextGrid XX120LF007.TextGrid XX120LF036.TextGrid XX128LF001.TextGrid XX128LF007.TextGrid XX128LF020.TextGrid XX128LF025.TextGrid XX130LF029.TextGrid XX142CF001.TextGrid XX164CF022.TextGrid
two t_hu:  % XX076LM006.TextGrid XX130LF009.TextGrid XX130LF029.TextGrid XX131LM006.TextGrid XX131LM007.TextGrid
two u  % XX119LF036.TextGrid
two thu:  % XX130LF006.TextGrid
two t_>u:  % XX041LF020.TextGrid
two t_>wO  % XX313CF006.TextGrid
two t_>u  % XX000LF236.TextGrid
u u  % XX000CM009.TextGrid XX000LM009.TextGrid XX002LF014.TextGrid XX058CF007.TextGrid XX077LM031.TextGrid XX095LF015.TextGrid XX100LM009.TextGrid XX155CM025.TextGrid XX182LM023.TextGrid XX183LM015.TextGrid XX191LM001.TextGrid XX193LM026.TextGrid XX206LF019.TextGrid XX208LF019.TextGrid XX239LF014.TextGrid XX240LF014.TextGrid XX242LF014.TextGrid XX244LF024.TextGrid XX323LF036.TextGrid XX334CM027.TextGrid XX341LF006.TextGrid
u u:  % XX207LF019.TextGrid
u-opharetha uOp_harEt_ha  % XX016LM023.TextGrid XX031LF031.TextGrid XX086LM027.TextGrid XX089LF036.TextGrid XX128LF038.TextGrid XX280LM034.TextGrid XX388LF035.TextGrid
u-opharetha uQp_harEt_ha  % XX261LM033.TextGrid
u-opharetha uOp_>arEt_ha  % XX077CM031.TextGrid
u0bhukisha u0b_0uk_>iSa  % XX220LF026.TextGrid
u0kunqo0ngophala u0k_>u!\~O0NgOp_hala  % XX050CF029.TextGrid
u0opharetha u0Qp_harEt_ha  % XX113LF036.TextGrid
uJanywari ud-\ZaJwari  % XX100LM106.TextGrid
uJulayi ud-\Zulai  % XX310LM006.TextGrid
uKomani uk_>Omani  % XX038LF022.TextGrid XX096LM024.TextGrid XX327LF035.TextGrid
uLanga ulaNga  % XX234CM037.TextGrid XX268LM023.TextGrid XX328LF027.TextGrid
uLoyiso ulojisO  % XX075CM031.TextGrid
uLundi ulundi  % XX083LM002.TextGrid
uLuvuyo uluvujO  % XX275LM002.TextGrid
uMandela umandEla  % XX272LF026.TextGrid
uMasekela umasEk_>Ela  % XX172LM035.TextGrid
uMdantsane um=dant-\s_>anE  % XX108LM020.TextGrid
uMthatha umt_hat_ha  % XX026LF035.TextGrid XX040LM013.TextGrid XX207LF013.TextGrid XX312LM012.TextGrid XX384LM013.TextGrid
uMthatha um=t_hat_ha  % XX044CF029.TextGrid XX275LM012.TextGrid XX361LM012.TextGrid
uMthatha um=t_hat_h  % XX000LM011.TextGrid XX206LF013.TextGrid
uMthatha m=t_hat_ha  % XX188LM010.TextGrid XX241LF010.TextGrid
uMthetheleli umt_hEt_hEleli  % XX191LM002.TextGrid
uMvulo umvulO  % XX350LM023.TextGrid
uNomnikelo unOmnik_>ElO  % XX128LF002.TextGrid
uNomonde unOmOndE  % XX117LF030.TextGrid
uSiyabulela usijab_<ulEla  % XX310LM002.TextGrid
uYesu ujesu  % XX062LF025.TextGrid
ubaleka ub_<alEk_>a  % XX146LM036.TextGrid
ubawo ub_<awO  % XX211LM032.TextGrid
ube ub_<E  % XX025LF022.TextGrid XX240LF026.TextGrid XX326LF032.TextGrid
ubenze ub_<End-\zE  % XX021CM028.TextGrid XX040LM027.TextGrid XX334CM031.TextGrid XX349LM030.TextGrid
ubetha ub_<Et_ha  % XX047LM015.TextGrid XX082LF020.TextGrid
ubethwe ub_<Et_hwE  % XX130LF034.TextGrid
ubhaqiwe ub_0a!\iwE  % XX072LF027.TextGrid XX080LM029.TextGrid XX118LF022.TextGrid
ubhatalela ub_0at_>alEla  % XX179LM021.TextGrid XX261LM026.TextGrid
ubhatalela ub_0a:t_>alEla  % XX261LM026.TextGrid
ubhontsi ub_0ont-\s_>i  % XX103LM026.TextGrid XX143LM024.TextGrid XX262LM028.TextGrid
